typo,orig,historique
RUE GOSSEC,"François Joseph Gossec (1734-1829), compositeur français.",
RUE GOUNOD,"Charles François Gounod (1818-1893), compositeur français.",
RUE NOLLET,"L'abbé Jean Antoine Nollet (1700-1770), physicien français ; quartier où ont été groupés des noms de savants.",Précédemment rue Saint-Louis. Elle est indiquée sur le plan cadastral de 1825.
RUE DE POITOU,Province de France ; voisinage de la place de France projetée par Henri IV.,"Précédemment rue de l'Oseille, entre les rues de Turenne et Vieille du Temple et rue de Poitou, entre les rues Vieille du Temple et Charlot."
RUE DES PLATRIERES,Voisinage des carrières de plâtre de Ménilmontant.,"La partie A a porté les noms d'impasse des Carrières puis, rue des Carrières. L'ouverture de la partie B a englobé la cité Borey."
VILLA D'ALSACE,Province française ; nom donné par les propriétaires riverains.,
RUE SAINT-MEDARD,Voisinage de l'église Saint-Médard.,"Précédemment rue Neuve Saint-Médard et, plus anciennement rue d'Ablon. Elle est indiquée sur le plan de Quesnel (1609)."
RUE DE STEINKERQUE,"Victoire remportée par le maréchal de Luxembourg sur le prince d'Orange et ses alliés, le 4 août 1692.",Précédemment rue Virginie.
PONT NATIONAL,,"Précédemment, pont Napoléon."
PLACE DU COMMERCE,Voisinage de la rue du Commerce. Principale rue commerçante de l'ancienne commune de Grenelle.,"Un arrêté du 1er février 1877 avait remplacé le nom de place du Commerce par celui de place de la Montagne Noire. Un arrêté du 16 mars 1877 a rétabli l'ancien nom. Avant 1867, c'était la place de la Mairie."
AVENUE DE VILLIERS,"Conduisait à l'ancien village de Villiers la Garenne, absorbé aujourd'hui par la commune de Levallois-Perret.",Précédemment boulevard de Neuilly ; partie de la route départementale n° 15. Le carrefour formé avec les rues Jouffroy d'Abbans et Brémontier a été dénommé place Monseigneur Loutil en 1965.
PLACE LACHAMBEAUDIE,"Pierre Lachambeaudie (1806-1872), poète fabuliste.","Précédemment, place de la Nativité, avant 1867 place de l'Eglise."
RUE DU TRANSVAAL,Province de l'Union sud-africaine.,
RUE BOUCRY,Nom de propriétaire.,La partie comprise entre la rue Cugnot et la place Hébert est devenue une partie de la rue Cugnot par arr. mun. du 30 août 1978.
IMPASSE DE BERGAME,Ville d'Italie.,"Précédemment, impasse Chabrol."
RUE D'AVRON,"Voie orientée dans la direction du plateau d'Avron, défendu par la garnison de Paris en 1870.",Précédemment rue de Montreuil et grande rue de Montreuil.
RUE TACLET,"M. Taclet, propriétaire.",
VILLA GEORGINA,"Georgina, prénom d'une fille du propriétaire.",
RUE VERNIQUET,"Edme Verniquet (1727-1804), architecte, auteur du grand plan de Paris levé à la fin du règne de Louis XVI.",
RUE LEMON,"M. Lemon, propriétaire.",
RUE BERGER,"Jean Jacques Berger (1791-1859), préfet de la Seine.","Précédemment, partie de la rue Aubry le Boucher entre le boulevard de Sébastopol et la rue Saint-Denis ; rue aux Fers, entre les rues Saint-Denis et Baltard (sup.) ; partie de la rue des Deux Ecus, entre les rues des Prouvaires et du Louvre. La partie de l'ancienne rue aux Fers comprise entre les rues Saint-Denis et de la Lingerie a successivement porté les noms de rue au Fèvre (1300), rue aux Fers, rue au Ferre, rue aux Fèves, rue aux Fèvres, rue au Feure, rue du Fouarre. La partie comprise entre les rues de la Lingerie et Baltard avait absorbé la rue de la Petite Friperie. Au XIIIe siècle, l'ancienne rue des Deux Ecus était dénommée rue aux Ecus (Guillot) ; au XVe siècle, la partie comprise entre les rues des Prouvaires et Sauval s'appelait rue Traversaine, Traversane ou Traversine, la partie comprise entre la rue Sauval et la rue d'Orléans (supprimée) portait le nom de rue de la Hache ou des Deux Haches. Cette dernière partie fut également nommée rue des Ecus, rue des Deux Ecus et rue aux Ecus."
RUE DE L'ABBE GREGOIRE,"L'abbé Henri Grégoire (1750-1831), évêque constitutionnel de Blois.","Précédemment rue des Missions, plus anciennement passage du Manège et rue Saint-Maur-Saint-Germain ; la partie comprise entre la rue de Sèvres et la rue du Cherche-Midi a été ouverte à la suite d'une vente faite par l'abbaye Saint-Germain le 23 février 1644."
RUE DE LA GUADELOUPE,Département français d'outre-mer situé aux Antilles.,Ouverte sur l'emplacement de l'ancien marché aux vaches ou de la Chapelle.
PASSAGE GATBOIS,"M. Gatbois, concessionnaire du terrain.","Une partie, sur une longueur de 76 m à partir de la rue de Chalon, a été déclassée par délib. du 24 septembre 1990 puis supprimée lors de l'aménagement de la Zac `Chalon`."
VILLA DE LORRAINE,Province française.,
PONT DE SULLY,Voisinage de la rue de Sully.,
PASSAGE DUHESME,"Philippe Guillaume Duhesme (1766-1815), général de division, tué à Waterloo ; Voisinage de la rue Duhesme.","Précédemment, passage Baudelique."
RUE LHUILLIER,"Luillier (et non Lhuillier), nom de plusieurs prévôts des marchands du XVIe siècle : Eustache (1504), Jean (1530), Nicolas (1576), Jean (1592).","Précédemment, rue d'Orléans. Cette voie est indiquée sur le plan de Roussel (1730)."
RUE MICHELET,"Jules Michelet (1798-1874), historien et écrivain français ; voisinage de la rue d'Assas, où fut son dernier domicile.",
RUE LE NOTRE,"André Le Nôtre (1613-1700), jardinier français, dessinateur de jardins.",Voie établie par la Ville de Paris en exécution d'une convention passée avec l'Etat le 6 décembre 1866 et approuvée par une loi du 28 avril 1869.
RUE DU CHEVET,Située au chevet de l'église Saint-Joseph.,
RUE GANNERON,"Auguste Hippolyte Ganneron (1792-1847), banquier et député.","Précédemment, rue des Carrières ; plus anciennement, chemin de la Hutte aux Gardes. Elle est tracée sur le plan cadastral de 1825."
PLACE DE LA CHAPELLE,"Voisinage de l'ancienne rue de la Chapelle, aujourd'hui rue Marx Dormoy.","Précédemment, la partie M était un tronçon du boulevard des Vertus qui était situé à l'extérieur de l'ancien mur d'octroi. La partie N portait avant 1877 le nom de place Jessaint."
RUE DES GRANDS CHAMPS,Lieu-dit.,"La partie B, précédemment sentier des Grands Champs, a porté les noms de sentier de la Voie Neuve puis sentier des Gouttes d'Or. Elle est indiquée sur le cadastre de 1812."
RUE DU CANGE,"Charles Dufresne, sieur du Cange (1610-1688), érudit.","La partie privée de cette voie qui était comprise entre les rues de Gergovie et du Moulin de la Vierge a été supprimée lors de l'aménagement de la Zac `Guilleminot-Vercingétorix`. Précédemment, rue des Trois Soeurs."
RUE JOSE-MARIA DE HEREDIA,"José-Maria de Heredia (1842-1905), poète français.",
RUE PORTALIS,"Jean Etienne Marie Portalis (1746-1807), jurisconsulte et homme politique français, l'un des rédacteurs du Code civil ; voisinage du boulevard Malesherbes.",
BOULEVARD EXELMANS,"Le comte Rémi Joseph Isidore Exelmans (1775-1852), maréchal de France ; voisinage de la route militaire.",Créée en même temps que le viaduc du chemin de fer de Ceinture. Ce dernier ouvrage qui occupait le terre-plein central du boulevard Exelmans a été démoli en 1966.
RUE PAPIN,"Denis Papin (1647-1714), physicien français ; voisinage du Conservatoire des Arts et Métiers.",
IMPASSE MARIE BLANCHE,,Précédemment impasse Sainte-Marie Blanche et antérieurement impasse Constance. Elle a aussi porté le nom de passage Sainte-Marie.
SQUARE LA BRUYERE,Voisinage de la rue La Bruyère.,
RUE DE COLMAR,Chef-lieu du département du Haut-Rhin.,
RUE ALPHONSE AULARD,"François Alphonse Aulard (1849-1928), professeur et historien.",Ouverte par la Ville de Paris sur l'emplacement du bastion 21.
RUE DES FILLES DU CALVAIRE,Le couvent des Filles du Calvaire y était situé.,
PLACE DU CARDINAL AMETTE,"Léon Adolphe Amette (1850-1920), cardinal archevêque de Paris.",
PLACE CASADESUS,"Hommage à quatre des frères Casadesus qui se sont distingués dans l'histoire de la musique en France : Francis (1870-1954), compositeur et chef d'orchestre ; Robert (1878-1940), compositeur d'opérettes ; Henri (1879-1947), virtuose de l'alto et de la viole d'amour ; Marcel, violoncelliste, mort au champ d'honneur le 10 octobre 1914.","Elle avait été dénommée place des Quatre Frères Casadesus par arrêté du 27 avril 1973. Précédemment, partie de la rue Simon Dereure et, antérieurement, rue de l'Abreuvoir prolongée."
RUE DE L'AMIRAL D'ESTAING,"Le comte Jean-Baptiste Charles Henri Hector d'Estaing (1729-1794), amiral, prit part à la guerre de l'Indépendance américaine ; voisinage de la place des Etats-Unis.",Précédemment rue Nitot.
RUE DE L'ABBE PATUREAU,"Marie Charles François Patureau (1853-1930), ancien curé de Saint-Pierre de Montmartre.","Précédemment partie de la rue Paul Féval. Plus anciennement, passage Lamarck, ouvert en 1891."
PLACE ANDRE TARDIEU,"André Tardieu (Paris, 1876-Menton, 1945), homme politique français.",
VOIE BT/18,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
PLACE ANDRE MALRAUX,"André Malraux (Paris, 1901-Créteil, 1976), écrivain et homme politique français.","Précédemment place du Théâtre Français. Elle a été formée en 1867. Sa création a fait disparaître la rue du Rempart, la rue Jeannisson et le cul-de-sac de la Brasserie. L'expropriation des immeubles dont elle occupe l'emplacement a été réalisée en vertu d'un décret du 15 novembre 1853."
AVENUE CHARLES GIRAULT,"Charles Girault (1851-1932), architecte ; voisinage du Petit Palais.",
RUE ANDRE MAZET,"André Mazet (1793-1821), médecin, mort de la fièvre jaune qu'il était allé étudier à Barcelone.","Précédemment rue Mazet (décret du 27 février 1867) et, antérieurement, rue de la Contrescarpe Saint-André. Cette voie portait, en 1636, le nom de rue de la Basoche et, plus anciennement, celui de ruelle ou allée des Murs. Elle était voisine de l'enceinte de Philippe-Auguste."
RUE ANTONIN MERCIE,"Marius Jean Antonin Mercié (1845-1916), sculpteur.",Ouverte par la Ville de Paris sur l'emplacement du bastion 74.
RUE ARTHUR ROZIER,"Arthur Rozier (1870-1919), député de Paris.",Précédemment rue des Mignottes. Elle est indiquée à l'état de sentier sur le plan cadastral de 1812.
RUE FERNAND LABORI,"Fernand Labori (1860-1917), avocat.",Ouverte par la Ville de Paris sur l'emplacement du bastion 37.
RUE DU 8 MAI 1945,"Le 8 mai 1945, date de la capitulation de l'armée allemande au cours de la seconde guerre mondiale.","Précédemment, rue de Strasbourg, et plus anciennement rue Neuve Chabrol."
RUE DU GENERAL CLERGERIE,"Jean-Baptiste Clergerie (1854-1927), général, chef d'état-major du gouvernement militaire de Paris en 1914.","Précédemment, rue Bugeaud."
RUE DU GENERAL DE MAUD'HUY,"Louis Ernest de Maud'huy (1857-1921), général, s'illustra au cours de la guerre de 1914-1918.",Ouverte par l'Office public d'habitations de la Ville de Paris sur l'emplacement du bastion 78.
RUE DU GENERAL DE LANGLE DE CARY,"Fernand Armand Marie de Langle de Cary (1849-1927), général qui s'illustra au cours de la guerre de 1914-1918.",Elle avait été provisoirement dénommée AL/12.
BOULEVARD D'INDOCHINE,"Péninsule de l'Asie, située entre l'Inde et la Chine, comprenant des territoires qui ont fait partie de l'ex-Union française.",Amorcée en 1933.
RUE DE DREUX,Ville d'Eure-et-Loir où est érigé le tombeau de la famille d'Orléans ; voisinage de la Chapelle Saint-Ferdinand.,"Voie recrée dans le cadre de l'aménagement concertée de la Zac `Champerret`. Cette voie correspond à la partie restante de la rue de Chartres située autrefois sur le territoire de Neuilly-sur-Seine, annexé à Paris par décret du 18 avril 1929. Supprimée en 1971 lors de la création du boulevard Périphérique. Elle commençait place de Verdun et finissait rue de Chartres à la limite du territoire de Neuilly-sur-Seine. Précédemment, partie de la rue de Chartres."
RUE JACQUES BINGEN,"Jacques Maurice Alfred Bingen (1908-1944), délégué du Comité français de la libération nationale, tué par les Allemands à Clermont-Ferrand.",Précédemment rue Montchanin.
PLACE DE DUBLIN,"Dublin, capitale et principal port de la République de l'Irlande (Eire, province de Leinster) sur la mer d'Irlande.",
PASSAGE DUBUFFET,"Jean Dubuffet (Le Havre, 1901-Paris, 1985), peintre, dessinateur et écrivain français ; il poursuivit également une activité de négociant en vins tout en s'intéressant à l'expression plastique.",Voie créée dans le cadre de l'aménagement de la partie Est de la Zac `Bercy`.
PLACE JACQUES MARETTE,"Jacques, Henri Marette (1922-1984), ancien ministre. Député du XVe arrondissement de 1962 à 1984 et adjoint au maire de Paris.",
PASSAGE DES PRINCES,"Ouvert sur l'emplacement d'un ancien hôtel meublé, dit hôtel des Princes.",Précédemment passage Mirès.
RUE COURNOT,"Antoine Augustin Cournot (1801-1877), mathématicien, philosophe et économiste.",Ouverte par la Ville de Paris.
RUE CRISTINO GARCIA,"Cristino Garcia, résistant (espagnol) ayant participé aux combats de libération du Sud de la France.",Ouverte par la RIVP.
BOULEVARD DU FORT DE VAUX,"Souvenir de la défense héroïque du fort de Vaux, près de Verdun, en 1916.",Précédemment partie de la route de la Révolte (CGC n° 16) située autrefois sur le territoire de Levallois-Perret annexé à Paris par décret du 27 juillet 1930.
RUE GUSTAVE GEFFROY,"Gustave Geffroy (1855-1926), littérateur et critique d'art français, administrateur de la manufacture des Gobelins ; voisinage de cet établissement.","Précédemment, rue Léon Durand."
RUE GUSTAVE GOUBLIER,"Gustave Goublier (1856-1926), compositeur.","Précédemment, partie du passage de l'Industrie."
CITE DE L'ERMITAGE,Voisinage de la rue de l'Ermitage.,Elle avait été provisoirement dénommée D/20.
RUE ERNEST HEBERT,"Antoine Auguste Ernest Hébert (1817-1908), peintre.",Ouverte par la Ville de Paris sur l'emplacement du bastion 58.
AVENUE DEBIDOUR,"Elie Louis Marc Marie Antoine Debidour (1847-1917), historien français.",Ouverte par la Ville de Paris sur l'emplacement du bastion 22.
RUE GUY MOQUET,"Guy Môquet (1924-1941), étudiant, otage fusillé par les Allemands le 22 octobre 1941.","Précédemment, rue Balagny et, plus anciennement, route départementale n° 36 (partie) et chemin des Boeufs."
RUE HECTOR GUIMARD,"Hector Guimard (Lyon, 1867-New York, 1942), architecte et décorateur français.",Voie créée dans le cadre de l'aménagement du Secteur de Rénovation `Rébeval`. Elle avait été provisoirement dénommée BS/19.
ALLEE DES MAUVES,,
VILLA ETIENNE MAREY,Voisinage de la rue Etienne Marey.,
PASSAGE EUGENE BEAUDOUIN,"Hommage à Eugène Beaudouin (Paris, 1898-Paris, 1983), architecte en chef des Palais nationaux et des bâtiments publics, membre de l'Institut de France, qui avait ses bureaux dans le passage.",Elle avait été provisoirement dénommée K/16.
RUE DE LA FERME DE SAVY,"La Ferme de Savy ou Savies désigne le prieuré de Saint-Martin des Champs, domaine dont Hugues Capet a fait don à l'Abbaye de Saint-Magloire peu d'années avant l'an mille.",Elle avait été provisoirement dénommée FB/20.
RUE FERNAND BRAUDEL,"Fernand Braudel (Luméville-en-Ornois, 1902-Cluses, 1985), historien français ; membre de l'Académie française (1984).",Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche` sur des terrains appartenant précédemment à la SNCF. Elle avait été provisoirement dénommée CG/13.
RUE HENRI TUROT,"Henri Turot (1865-1920), conseiller municipal, voyageur et explorateur.","Précédemment, rue Asselin."
RUE DU DOCTEUR LABBE,"Léon Labbé (1832-1916), chirurgien français, président de l'Académie de médecine, sénateur.",Ouverte par la Ville de Paris sur l'emplacement du bastion 16.
RUE DU DOCTEUR LANCEREAUX,"Étienne Lancereaux (1829-1910), médecin des hôpitaux, membre de l'Académie de médecine.","Précédemment, square de Messine, qui avait englobé l'impasse Émery."
PLACE DU NICARAGUA,Etat de l'Amérique centrale.,
RUE PAUL BARRUEL,"Paul Auguste Barruel (1841-1931), maire de l'arrondissement.",Ouverte sous le nom de rue Cambronne prolongée.
AVENUE DE LA PORTE MOLITOR,Voisinage de l'ancienne porte Molitor.,Ouverte par la Ville de Paris sur l'emplacement de la rue du Château. La rue du Château (RD n° 2 bis) était située autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
RUE NUNGESSER ET COLI,"Charles Nungesser (1892-1927), officier aviateur français, héros de la guerre de 1914-1918, et François Coli (1881-1927), aviateur français ; disparus au cours d'une tentative de traversée aérienne de l'Atlantique Nord.",Ouverte par la Ville de Paris sur l'ancien territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
RUE PAUL BOURGET,"Paul Bourget (1852-1935), écrivain français.","Ouverte par la Ville de Paris. Elle avait été provisoirement dénommée B/13 (partie A), puis étendue à l'emprise située entre la rue du Docteur Bourneville et l'avenue de la Porte d'Italie (partie B)."
RUE DU LIEUTENANT-COLONEL DAX,"Lieutenant-Colonel Marcel Pimpaud, dit ""Lieutenant-Colonel Dax"" (1912-1944), résistant français, mort sur front d'Alsace en 1944.","Ouverte par la Ville de Paris, elle se terminait alors en impasse. Son débouché sur la rue Jean-Henri Fabre a été aménagé en 1966 lors de la construction du boulevard Périphérique. Elle avait été provisoirement dénommée D/18."
RUE DE L'EST,Orientation de la voie.,"Précédemment, passage de l'Est."
SQUARE DE LA PORTE DE VANVES,Proximité de l'avenue de la Porte de Vanves.,Ouvert par la Société anonyme de gestion immobilière.
RUE DE L'OLIVE,Nom donné en référence au fruit de l'olivier.,"Précédemment, rue L'Olive et antérieurement rue du Marché."
RUE DES LONGUES RAIES,Lieu-dit.,"Précédemment rue des Glacières (partie). Voie créée par l'Etat lors de l'établissement du chemin de fer de ceinture. Le tronçon compris entre le boulevard Kellermann et la partie restant de la voie a été fermée à ses extrémités en 1900. La partie comprise entre le 41, rue des Longues Raies et la rue de l'Amiral Mouchez était précédemment dénommée voie FU/13."
ALLEE DU PERE JULIEN DHUIT,Prolongement de la rue du Père Julien Dhuit jusqu'à la rue des Envierges.,
RUE DU PERE BROTTIER,"Le Père Brottier (La Ferté-Saint-Cyr, 1876-Paris,1936), l'un des créateurs de l'Union Nationale des Anciens Combattants (1918), directeur de l'oeuvre des Orphelins apprentis d'Auteuil (1925).",Précédemment partie de la rue François Gérard et antérieurement rue des Planchettes. Elle est tracée sur le plan de Roussel (1730).
VILLA JEAN-BAPTISTE LUQUET,"Jean-Baptiste Luquet, ancien propriétaire des terrains sur lesquels la voie a été ouverte au début du siècle.",Elle avait été provisoirement dénommée D/15.
RUE JEAN DOLENT,"Charles Antoine Fournier, dit Jean Dolent (1835-1909), écrivain et critique d'Art.","Précédemment rue Alexandre de Humboldt. Plus anciennement, rue Humboldt, rue Biron (1734), chemin et voye Creuse (1725). Elle est indiquée à l'état de chemin sur le plan de Delagrive (1728)."
RUE JEAN HUGUES,"Jean Hugues (1848-1930), statuaire ; voisinage de la rue de Longchamp où il vécut.",Précédemment rue Théry prolongée.
AVENUE JEAN JAURES,"Jean Jaurès (1859-1914), homme politique, philosophe et historien français.","La partie A a porté les noms de : grand chemin de Meaux, route de Meaux, rue d'Allemagne et avenue d'Allemagne. Le tronçon compris entre la place de la bataille de Stalingrad et la rue de Crimée est indiqué sur le plan de Verniquet (1789-1791) ; le surplus de la partie A figure sur le plan de Roussel (1730). La partie B était un tronçon de l'avenue de la Porte de Pantin avant l'ouverture, en 1935, du tronçon B du boulevard Sérurier, en remplacement de l'ancien tronçon supprimé pour l'agrandissement des abattoirs de la Villette et la suppression du passage à niveau de l'avenue Jean Jaurès. Précédemment partie de la route nationale n° 3."
RUE DE JAVEL,Voisinage de l'ancien lieu-dit de Javel.,"Précédemment rue de Javel, entre le quai André Citroën et la rue de la Croix Nivert, et partie de la rue de Grenelle, entre la rue de la Croix Nivert et la rue Blomet. Chemin aboutissant à la Maison Blanche, indiqué sur le plan de Roussel (1730). La partie de la voie comprise entre l'avenue Emile Zola et la rue du Capitaine Ménard a été englobée dans la place Alphonse Humbert."
RUE TESSIER,"Henri Alexandre Tessier (1741-1837), agronome ; quartier où ont été groupés des noms d'agronomes.",
PASSAGE GUSTAVE LEPEU,"M. Gustave Lepeu, fils du propriétaire.",
RUE DE LA FOLIE-MERICOURT,Voisinage d'une ancienne folie ou maison de plaisance.,"Précédemment, rue Popincourt entre la rue Saint-Ambroise et la rue Oberkampf et rue de la Folie Marcaut pour le surplus. La rue Popincourt s'est appelée rue du Bas Pincourt ou rue Pincourt. La rue de la Folie Marcaut fut également désignée sous les noms de rue de la Folie Mauricaut, Mauricaute, Mauricourt, Moricourt et Méricourt. Elle est indiquée sur le plan de Gomboust (1652)."
RUE D'ARGOUT,"D'Argout (1782-1858), homme politique, ministre et gouverneur de la Banque de France.","Cette voie créée vers la fin du XIIIe siècle fut appelée, dès l'origine, rue Pagevin puis, rue des Vieux Augustins (au XVIIIe siècle). Le tronçon qui était compris entre les rues Coquillière et Etienne Marcel a été dénommé rue Herold en 1881."
PASSAGE BRULON,"M. Brulon, propriétaire.",
RUE EUGENE DELACROIX,"Ferdinand Victor Eugène Delacroix (1798-1863), peintre, aquarelliste, dessinateur et lithographe français ; quartier où ont été groupés des noms d'artistes.","Précédemment, rue du Chemin de la Croix. Elle figure à l'état de chemin sur le plan de Roussel (1730). Sur le cadastre de 1825, c'est une partie du chemin de Versailles."
RUE PAJOL,"Le comte Claude Pierre Pajol (1773-1844), général de division français.","Précédemment, rue Neuve de Strasbourg, entre la place de la Chapelle et la rue du Département ; rue de Strasbourg, entre les rues du Département et Riquet, et rue Neuve du Bon Puits, entre la rue Riquet et la place Hébert. Cette voie est indiquée sur le cadastre de 1843, entre les rues du Département et Riquet, sous le nom de rue de la Gare du chemin de fer de Strasbourg."
RUE DE L'ARMORIQUE,"Ancien nom de la Bretagne, voisinage de la gare Montparnasse.",Précédemment avenue du Chemin de Fer ou rue de la Gare. Ouverte par la Compagnie des chemins de Fer de l'Ouest sur le territoire de l'ancienne commune de Vaugirard.
RUE HAXO,"Le baron François Nicolas Benoît Haxo (1774-1838), général et ingénieur français ; voisinage de la route militaire.","Précédemment, rue de Vincennes, entre les rues du Surmelin et de Romainville, et rue de Pantin ou rue du Pré Saint-Gervais, entre la rue de Romainville et le boulevard Sérurier. Elle paraît occuper l'emplacement d'une allée de l'ancien parc du château de Ménilmontant. Une partie de la rue Haxo aurait fait partie de la RD n° 40."
AVENUE DE TAILLEBOURG,"Victoire remportée par Saint-Louis, en 1242 ; voisinage de la place de la Nation, où se trouve une statue de Saint-Louis.",Précédemment avenue des Triomphes. Elle est tracée sur le plan de Delagrive (1728).
BOULEVARD DE CHARONNE,Longe l'ancienne commune de Charonne.,"Précédemment : 1° A l'extérieur de l'ancien mur d'octroi : boulevard de Montreuil, entre le cours de Vincennes et la rue d'Avron ; boulevard de Charonne, entre les rues d'Avron et de Bagnolet ; boulevard de Fontarabie (partie), pour le surplus. 2° A l'intérieur de l'ancien mur d'octroi : chemin de ronde de Vincennes, entre l'avenue du Trône et la rue de Montreuil ; chemin de ronde de Montreuil entre les rues de Montreuil et de Charonne ; chemin de ronde de Fontarabie (partie), le surplus."
RUE HENRI CHEVREAU,M. Henri Chevreau était sous-préfet de l'arrondissement de Saint-Denis lorsque la partie A fut ouverte. Il fut nommé préfet de la Seine en 1870.,
BOULEVARD DE CLICHY,"Voisinage de la place de Clichy, autrefois place de la Barrière de Clichy.","Précédemment : 1° A l'extérieur de l'ancien mur d'octroi boulevard des Martyrs, entre les rues des Martyrs et Houdon ; boulevard Pigalle, entre les rues Houdon et Lepic, et boulevard de Clichy pour le surplus. 2° A l'intérieur de l'ancien mur d'octroi : chemin de ronde des Martyrs, entre la rue des Martyrs et la place Pigalle ; chemin de ronde de Montmartre, entre les places Pigalle et Blanche, et chemin de ronde de la Barrière Blanche pour le surplus. Une partie du Boulevard de Clichy fait actuellement partie de la place de Clichy."
RUE LASSUS,"Jean Baptiste Antoine Lassus (1807-1857), architecte et restaurateur français, a construit l'église Saint-Jean-Baptiste de Belleville ; voisinage de cette église.",Précédemment partie de la place de l'Eglise. La place de l'Eglise a été formée en vertu d'un décret du 20 septembre 1851 (UP).
IMPASSE ERARD,Voisinage de la rue Erard.,"Précédemment, impasse Saint-Charles."
RUE DURANTI,"Jean Etienne Duranti (1534-1589), magistrat français, président du Parlement de Toulouse ; groupe de noms de magistrats ; voisinage de l'ancienne maison d'arrêt de la Petite Roquette.",
PROMENADE CLEEWS VELLAY,"Cleews Vellay, (Gonesse (Val-d'Oise), 1964 - Paris, 1994), militant associatif, figure de la lutte contre le sida, ""Présidente"" d'Act Up Paris de 1992 à 1994.",
QUAI DE BERCY,Longe le port de Bercy.,"La portion de la partie A du quai de Bercy, comprise entre la limite du territoire de Charenton-le-Pont et la limite de l'ancienne enceinte fortifiée, faisait précédemment partie de la route départementale n° 23. Elle était située autrefois sur le territoire de Charenton-le-Pont annexé à Paris par décret du 18 avril 1929. Le tronçon B était tracé sur le plan de Jouvin de Rochefort (1672). Lors de sa transformation en voie express, il a englobé les rues de la Compagnie des Courtiers Gourmets, du Port de Bercy et du Petit Bercy (voies qui étaient situées dans les Entrepôts de Bercy). Le tronçon A a été dédoublé lors de la construction en 1970 de l'échangeur de Bercy ; son extension a été constituée par emprise sur la Seine. La partie comprise entre le boulevard de Bercy et le quai de la Rapée, qui faisait antérieurement partie du quai de la Rapée, a été élargie à 39 et 45 m de 1962 à 1967 par emprise sur le port de la Rapée, pour permettre la construction du passage souterrain de la voie Georges Pompidou."
RUE DE LA TOMBE ISSOIRE,"Lieu-dit de la Tombe Issoire, auquel se rattache la légende d'un géant qui aurait été enterré en cet endroit ; mais le fief des tombes doit plus vraisemblablement ce nom à une famille Isore ou Isoire encore connue au XVIe siècle et demeurant place Maubert","Précédemment rue de la Tombe Issoire, entre le boulevard Saint-Jacques et la rue du Père Corentin, et vieille route d'Orléans, entre la rue du Père Corentin et le boulevard Jourdan. Sur le plan de Jouvin de Rochefort (1672), cette voie porte le nom de chemin de Bourg-la-Reine."
PLACE ALAIN GOLDMANN,"Alain Goldmann (1931-2022), Grand Rabbin de Paris de 1980 à 1994.",
ALLEE SHAMAI HABER,"Shamaï Haber (1922-1995), sculpteur polonais, créateur du Creuset du temps, fontaine monumentale installée place de Catalogne en 1988.",Précédemment partie de la place de Catalogne.
SQUARE RAPP,Voisinage de l'avenue Rapp.,Précédemment villa de Monttessuy.
RUE LE CHATELIER,"Louis Le Chatelier (1815-1873), ingénieur des chemins de fer de l'Ouest ; voisinage du chemin de fer.",
VILLA DES ENTREPRENEURS,Voisinage de la rue des Entrepreneurs.,
ROUTE DES CHENES,,Située autrefois sur le territoire de Fontenay-sous-Bois annexé à Paris par décret du 18 avril 1929.
RUE LAROCHELLE,"Henri Julien Boulanger, dit Larochelle (1827-1884), acteur et directeur de théâtre ; voisinage du théâtre de Montparnasse, dont il fut directeur de 1853 à 1866.",Précédemment impasse La Rochelle.
RUE DE TOLBIAC,Victoire remportée par Clovis en 496.,Précédemment partie de la rue du Transit.
RUE ABEL TRUCHET,"Louis Abel Truchet (1857-1918), peintre.","Précédemment, passage Caroline."
GALERIE ELYSEES-LA BOETIE,Passage compris entre l'avenue des Champs Elysées et la rue La Boëtie.,
AVENUE DES CANADIENS,Un hôpital militaire accueillant principalement des Canadiens blessés pendant la Grande Guerre y était installé.,"Le premier tronçon était situé sur les territoires de Joinville-le-Pont et de Saint-Maurice annexés à Paris par décret du 18 avril 1929, partie de la RN 4. Le second était précédemment dénommé Chemin des Corbeaux avant 1918."
BOULEVARD DE MENILMONTANT,Longe l'ancien village de Ménilmontant.,"Précédemment : 1° A l'extérieur de l'ancien mur d'octroi, boulevard de Fontarabie (partie), entre les rues Pierre Bayle et du Repos ; boulevard d'Aunay, entre la rue du Repos et la place Auguste Métivier ; boulevard des Amandiers, pour le surplus. 2° A l'intérieur de l'ancien mur d'octroi, chemin de ronde de Fontarabie (partie), entre les rues de Mont-Louis et de la Roquette ; chemin de ronde d'Aunay, entre les rues de la Roquette et du Chemin Vert ; chemin de ronde des Amandiers entre la rue du Chemin Vert et la place de la Barrière de Ménilmontant qui était située au débouché de la rue Oberkampf ; partie de la place de la Barrière de Ménilmontant. Autrefois chemin de ronde de la Barrière des Rats entre les rues de Mont-Louis et Pierre Bayle et la rue de la Roquette. L'ancien boulevard des Rats est actuellement une partie du boulevard de Ménilmontant."
VOIE EG/20,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
VOIE EV/20,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
